"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
177,178,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-7B-Instruct),100%,31629,8B,3584,32768,,,,,,,,,,,
178,179,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,8427,2B,1536,32768,,,,,,,,,,,
179,180,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99%,390,109M,768,512,,,,,,-3.11,,,,,
180,181,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),94%,1166,306M,768,512,,,,,,,,,,,
181,182,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),100%,Unknown,335M,768,512,,,,,,,,,,,
182,183,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),98%,28629,7B,4096,8192,,,,,,,,,,,
183,184,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209,110M,768,512,,,,,,,,,,,
184,185,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,1278,335M,1024,512,,,,,,,,,,,
185,186,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,9649,2B,2048,32768,,,,,,,,,,,
186,187,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),98%,27126,7B,4096,32768,,,,,,,,,,,
187,188,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99%,284,149M,768,8192,,,,,,,,,,,
188,189,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),94%,1072,281M,768,512,,,,,,,,,,,
189,190,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,Unknown,Unknown,1536,16000,,,,,,,,,,,
