,Model,AlloProfClusteringS2S.v2,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,BigPatentClustering.v2,BiorxivClusteringP2P.v2,CLSClusteringP2P.v2,HALClusteringS2S.v2,MasakhaNEWSClusteringS2S,MedrxivClusteringP2P.v2,PlscClusteringP2P.v2,SIB200ClusteringS2S,StackExchangeClustering.v2,SwednClusteringP2P,WikiCitiesClustering,WikiClusteringP2P.v2
28,KaLM-embedding-multilingual-mini-v1,49.9975,59.3345,55.442899999999995,31.1965,37.2009,39.1697,25.4397,60.155743100795725,34.2933,70.2789,21.790531472081216,57.5793,34.85764999999999,84.4755,27.250764285714286
29,KaLM-embedding-multilingual-mini-instruct-v1,48.8282,58.914699999999996,54.5492,36.6091,37.1479,37.9962,25.3751,65.92601417312947,34.6143,71.37299999999999,21.60825989847716,53.73440000000001,34.91985,82.6445,26.775721428571426
30,mmlw-e5-base,36.3268,59.867000000000004,55.5983,38.3094,42.6656,26.0635,24.2857,42.363737500000006,37.711,68.0967,8.987426395939089,57.4387,29.4875,85.53460000000001,24.57267142857143
31,UAE-Large-V1,37.627500000000005,59.37910271512732,60.51344629594087,28.25389303617144,41.7929,18.2223,26.636227189930406,40.65111769094275,36.881960638412295,68.69420000000001,11.781302565284237,57.21976219782328,33.05758360327326,86.4723,25.779459761142093
32,NV-Embed-v1,54.257,61.3772,61.3319,19.1678,47.384,33.3504,27.0038,39.857493749999996,37.8069,67.94980000000001,16.748842131979703,56.3493,25.57615,71.4848,26.71061428571429
33,Solon-embeddings-large-0.1,38.8797,56.89959999999999,54.7207,32.824999999999996,39.399,37.1762,25.1969,40.43500625000001,36.4499,71.3275,29.916508121827416,47.477799999999995,36.62875,86.0362,27.660707142857145
34,bilingual-embedding-base,46.5156,56.9346,54.394299999999994,33.6706,38.0501,40.1088,26.0129,46.09882977546196,34.9347,69.133,31.216982741116762,56.533699999999996,36.0221,77.4514,26.92018571428571
35,mmlw-roberta-large,35.113,60.8105,57.0935,29.909799999999997,43.6246,10.606200000000001,24.9619,41.65485624999999,38.656800000000004,71.4336,10.54271878172588,58.057700000000004,28.8779,82.7028,25.388971428571427
36,stella-base-en-v2,35.1139,59.992999999999995,58.569,34.1423,41.4085,20.8722,24.4082,40.778225000000006,36.3817,66.9428,9.597209137055842,59.095699999999994,28.8095,86.2996,25.068114285714287
37,bge-base-en-v1.5,36.88816642683522,60.682568390916295,58.987464792989975,31.20725565062686,41.671936179830205,20.92584964933135,25.267746520624705,40.46839571788047,36.32620368274916,69.42819671719158,9.367398281450422,55.33297004859964,28.68285031269452,86.08056803918346,24.65445511096089
